player_id,name,match_tier,club_before,club_after,league_before,league_after
71351,Jorthy Mokio,id,Ajax,,Eredivisie,Eredivisie
223501,Adrían Spörle,id,Belgrano de Córdoba,Belgrano,Liga Profesional de Fútbol,LPF
227819,Samuel Portugal,id,Al Akhdoud Saudi Club,,Pro League,ROSHN Saudi League
235088,Luis Pérez,id,Gaziantep FK,Gaziantep,Süper Lig,Trendyol Süper Lig
254296,Kartal Yılmaz,id,Beşiktaş JK,Beşiktaş,Süper Lig,Trendyol Süper Lig
263397,Alan Minda,id,Cercle Brugge KSV,Cercle Brugge,Pro League,1A Pro League
266751,Jung Ho Yeon,id,Minnesota United FC,Minnesota United,Major League Soccer,MLS
276583,Livan Burcu,id,1. FC Union Berlin,Union Berlin,Bundesliga,Bundesliga
226616,Jonathan Galván,id,Central Cordoba SdE,Central Córdoba,Liga Profesional de Fútbol,LPF
243914,Efkan Bekiroğlu,id,Göztepe SK,Göztepe,Süper Lig,Trendyol Süper Lig
243953,Antoine Bernier,id,Royal Charleroi Sporting Club,Sp. Charleroi,Pro League,1A Pro League
258475,Giuseppe Sibilli,id,SSC Bari,,Serie B,Serie BKT
198635,Wellington Silva,id,Qingdao Hainiu FC,Qingdao Hainiu,Super League,CSL
245338,Thomas van den Belt,id,FC Twente,,Eredivisie,Eredivisie
251469,Pedro Amaral,id,GD Estoril Praia,Estoril Praia,Primeira Liga,Liga Portugal
213795,Kiki,id,AVS Futebol SAD,,Primeira Liga,Liga Portugal
224977,Alessandro Micai,id,CFR Cluj,CFR 1907 Cluj,Liga I,SUPERLIGA
231919,Alessandro Murgia,id,Universitatea Cluj,FC Univ. Cluj,Liga I,SUPERLIGA
247072,Khalid Eissa,id,Al Ain,Al Ain FC,Pro League,United Emirates League
253250,Rodney Redes,id,Club Olimpia,,División Profesional,Libertadores
253428,Vítězslav Jaroš,id,Ajax,,Eredivisie,Eredivisie
263032,Vladan Kovacević,id,Norwich City,Norwich,Championship,EFL Championship
70441,Alex Luna,id,Instituto Atlético Central Córdoba,Instituto,Liga Profesional de Fútbol,LPF
228410,Daniel Iversen,id,Preston North End,Preston,Championship,EFL Championship
240211,Gaspar Gentile,id,Alianza Lima,,Liga 1,Libertadores
251532,Meschack Elia,id,Alanyaspor,BSC Young Boys,Süper Lig,Brack Super League
256887,Taylor Booth,id,FC Twente,,Eredivisie,Eredivisie
