player_id,name,match_tier,club_before,club_after,league_before,league_after
231443,Ousmane Dembélé,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
235212,Achraf Hakimi,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
255253,Vitinha,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
231478,Lautaro Martínez,id,Inter,Lombardia FC,Serie A,Serie A Enilive
200389,Jan Oblak,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
247635,Khvicha Kvaratskhelia,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
237383,Alessandro Bastoni,id,Inter,Lombardia FC,Serie A,Serie A Enilive
192985,Kevin De Bruyne,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
207865,Marquinhos,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
177683,Yann Sommer,id,Inter,Lombardia FC,Serie A,Serie A Enilive
212198,Bruno Fernandes,id,Manchester United,Man Utd,Premier League,Premier League
246191,Julián Alvarez,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
215698,Mike Maignan,id,AC Milan,Milano FC,Serie A,Serie A Enilive
224232,Nicolò Barella,id,Inter,Lombardia FC,Serie A,Serie A Enilive
232293,Victor Osimhen,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
252145,Nuno Mendes,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
211110,Paulo Dybala,id,Roma,AS Roma,Serie A,Serie A Enilive
247851,Bruno Guimarães,id,Newcastle United,Newcastle Utd,Premier League,Premier League
256196,Willian Pacho,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
208128,Hakan Çalhanoğlu,id,Inter,Lombardia FC,Serie A,Serie A Enilive
158023,Lionel Messi,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
241096,Sandro Tonali,id,Newcastle United,Newcastle Utd,Premier League,Premier League
210257,Ederson,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
226268,Federico Dimarco,id,Inter,Lombardia FC,Serie A,Serie A Enilive
237238,Scott McTominay,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
272834,João Neves,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
194765,Antoine Griezmann,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
243014,Bryan Mbeumo,id,Manchester United,Man Utd,Premier League,Premier League
271421,Désiré Doué,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
228093,Marcus Thuram,id,Inter,Lombardia FC,Serie A,Serie A Enilive
200104,Heung Min Son,id,Los Angeles FC,LAFC,Major League Soccer,MLS
226271,Fabián Ruiz,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
234236,Patrik Schick,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
226161,Marcos Llorente,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
212616,Rodrigo De Paul,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
233096,Denzel Dumfries,id,Inter,Lombardia FC,Serie A,Serie A Enilive
210035,Grimaldo,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
226851,Benjamin Pavard,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
257279,Álex Baena,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
220502,Mattia Zaccagni,id,Lazio,Latium,Serie A,Serie A Enilive
231521,Exequiel Palacios,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
245367,Xavi Simons,id,Tottenham Hotspur,Spurs,Premier League,Premier League
227796,Christian Pulisic,id,AC Milan,Milano FC,Serie A,Serie A Enilive
220697,James Maddison,id,Tottenham Hotspur,Spurs,Premier League,Premier League
252154,Marco Carnesecchi,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
241721,Rafael Leão,id,AC Milan,Milano FC,Serie A,Serie A Enilive
192505,Romelu Lukaku,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
197781,Isco,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
264652,Bradley Barcola,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
230899,Ademola Lookman,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
204485,Riyad Mahrez,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
216549,Alexander Sørloth,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
199845,Francesco Acerbi,id,Inter,Lombardia FC,Serie A,Serie A Enilive
198176,Stefan de Vrij,id,Inter,Lombardia FC,Serie A,Serie A Enilive
210008,Adrien Rabiot,id,AC Milan,Milano FC,Serie A,Serie A Enilive
192883,Henrikh Mkhitaryan,id,Inter,Lombardia FC,Serie A,Serie A Enilive
223959,Lucas Torreira,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
217870,Giovanni Di Lorenzo,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
247394,Dejan Kulusevski,id,Tottenham Hotspur,Spurs,Premier League,Premier League
247103,Dávid Hancko,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
242964,Anthony Gordon,id,Newcastle United,Newcastle Utd,Premier League,Premier League
251752,Lucas Chevalier,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
228813,Aleix García,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
216435,Stanislav Lobotka,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
177003,Luka Modrić,id,AC Milan,Milano FC,Serie A,Serie A Enilive
193698,Oliver Baumann,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
240243,Matheus Cunha,id,Manchester United,Man Utd,Premier League,Premier League
199641,Matz Sels,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
186942,İlkay Gündoğan,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
229391,Palhinha,id,Tottenham Hotspur,Spurs,Premier League,Premier League
224371,Jarrod Bowen,id,West Ham United,West Ham,Premier League,Premier League
278016,Murillo,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
242458,Artem Dovbyk,id,Roma,AS Roma,Serie A,Serie A Enilive
192629,Iago Aspas,id,RC Celta,Celta,La Liga,LALIGA EA SPORTS
241850,Mateo Retegui,id,Al Qadsiah FC,Al Qadsiah,Pro League,ROSHN Saudi League
216460,José María Giménez,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
229582,Gianluca Mancini,id,Roma,AS Roma,Serie A,Serie A Enilive
244263,Amir Rrahmani,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
238095,Nikola Milenković,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
233486,Robin Le Normand,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
223334,Joelinton,id,Newcastle United,Newcastle Utd,Premier League,Premier League
227236,André-Franck Zambo Anguissa,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
266866,Éderson,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
243245,Orkun Kökçü,id,Beşiktaş JK,Beşiktaş,Süper Lig,Trendyol Süper Lig
243576,Pedro Porro,id,Tottenham Hotspur,Spurs,Premier League,Premier League
230872,Mile Svilar,id,Roma,AS Roma,Serie A,Serie A Enilive
256853,Malik Tillman,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
210411,Otávio,id,Al Qadsiah FC,Al Qadsiah,Pro League,ROSHN Saudi League
236496,Mattéo Guendouzi,id,Lazio,Latium,Serie A,Serie A Enilive
215316,Gerónimo Rulli,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
240091,Guglielmo Vicario,id,Tottenham Hotspur,Spurs,Premier League,Premier League
226226,Giovani Lo Celso,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
224987,Ivan Provedel,id,Lazio,Latium,Serie A,Serie A Enilive
236015,Morgan Gibbs-White,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
272449,Pablo Barrios,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
192984,Koen Casteels,id,Al Qadsiah FC,Al Qadsiah,Pro League,ROSHN Saudi League
225116,Alex Meret,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
220793,Davinson Sánchez,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
229348,Antonee Robinson,id,Fulham FC,Fulham,Premier League,Premier League
255565,Kaoru Mitoma,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
264453,Micky van de Ven,id,Tottenham Hotspur,Spurs,Premier League,Premier League
222492,Leroy Sané,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
251470,Charles De Ketelaere,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
244257,Jonathan Burkardt,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
210047,Fabian Schär,id,Newcastle United,Newcastle Utd,Premier League,Premier League
213648,Pierre-Emile Højbjerg,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
216547,Rafa,id,Beşiktaş JK,Beşiktaş,Süper Lig,Trendyol Süper Lig
192318,Mario Götze,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
229237,Manuel Akanji,id,Inter,Lombardia FC,Serie A,Serie A Enilive
246147,Mason Greenwood,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
232639,Ritsu Doan,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
234824,Yoane Wissa,id,Newcastle United,Newcastle Utd,Premier League,Premier League
235243,Matthijs de Ligt,id,Manchester United,Man Utd,Premier League,Premier League
235410,Youssef En-Nesyri,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
200724,Nacho Fernández,id,Al Qadsiah FC,Al Qadsiah,Pro League,ROSHN Saudi League
243241,Alessandro Buongiorno,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
212218,Aymeric Laporte,id,Athletic Club,Al Nassr,La Liga,ROSHN Saudi League
232488,Cristian Romero,id,Tottenham Hotspur,Spurs,Premier League,Premier League
236532,Robin Koch,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
192123,Chris Wood,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
247257,Ibañez,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
210413,Alessio Romagnoli,id,Lazio,Latium,Serie A,Serie A Enilive
251809,Sven Botman,id,Newcastle United,Newcastle Utd,Premier League,Premier League
238216,Conor Gallagher,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
239807,Davide Frattesi,id,Inter,Lombardia FC,Serie A,Serie A Enilive
258648,Carlos Augusto,id,Inter,Lombardia FC,Serie A,Serie A Enilive
261865,Miguel Gutiérrez,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
181458,Ivan Perišić,id,PSV,,Eredivisie,Eredivisie
272500,Carlos Baleba,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
219683,Corentin Tolisso,id,Olympique Lyonnais,OL,Ligue 1,Ligue 1 McDonald's
208461,Marten de Roon,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
259516,Johnny Cardoso,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
206085,Jacob Murphy,id,Newcastle United,Newcastle Utd,Premier League,Premier League
193747,Koke,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
212242,Robert Andrich,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
245630,Youssouf Fofana,id,AC Milan,Milano FC,Serie A,Serie A Enilive
253396,Giuliano Simeone,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
212523,Anderson Talisca,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
203841,Nick Pope,id,Newcastle United,Newcastle Utd,Premier League,Premier League
212228,Ivan Toney,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
239301,Lisandro Martínez,id,Manchester United,Man Utd,Premier League,Premier League
239482,Galeno,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
255475,Antony,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
184392,Matteo Darmian,id,Inter,Lombardia FC,Serie A,Serie A Enilive
216409,Matteo Politano,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
213516,Ricardo Horta,id,Sporting Clube de Braga,SC Braga,Primeira Liga,Liga Portugal
247263,Edmond Tapsoba,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
257470,Anthony Elanga,id,Newcastle United,Newcastle Utd,Premier League,Premier League
236632,David Neres,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
236403,Evan Ndicka,id,Roma,AS Roma,Serie A,Serie A Enilive
220814,Lucas Hernández,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
237679,Randal Kolo Muani,id,Tottenham Hotspur,Spurs,Premier League,Premier League
242835,Leonardo Balerdi,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
216354,Andrej Kramarić,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
232411,Christopher Nkunku,id,AC Milan,Milano FC,Serie A,Serie A Enilive
188567,Pierre-Emerick Aubameyang,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
214096,Tim Kleindienst,id,Borussia Mönchengladbach,M'gladbach,Bundesliga,Bundesliga
231652,Simon Banza,id,Sporting Clube de Braga,SC Braga,Primeira Liga,Liga Portugal
244749,Nayef Aguerd,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
201399,Mauro Icardi,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
232756,Fikayo Tomori,id,AC Milan,Milano FC,Serie A,Serie A Enilive
232363,Milan Škriniar,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
263205,Barış Alper Yılmaz,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
213666,Ruben Loftus-Cheek,id,AC Milan,Milano FC,Serie A,Serie A Enilive
230938,Franck Yannick Kessié,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
251806,Quinten Timber,id,Feyenoord,,Eredivisie,Eredivisie
226753,André Onana,id,Trabzonspor,Man Utd,Süper Lig,Premier League
209297,Fred,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
228251,Lorenzo Pellegrini,id,Roma,AS Roma,Serie A,Serie A Enilive
251479,Maxim De Cuyper,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
259583,Destiny Udogie,id,Tottenham Hotspur,Spurs,Premier League,Premier League
245155,Mohammed Kudus,id,Tottenham Hotspur,Spurs,Premier League,Premier League
270571,Gabriel Sara,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
270673,Warren Zaïre-Emery,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
254243,Elliot Anderson,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
233927,Lucas Paquetá,id,West Ham United,West Ham,Premier League,Premier League
259694,Mingueza,id,RC Celta,Celta,La Liga,LALIGA EA SPORTS
224656,Ola Aina,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
192563,Bernd Leno,id,Fulham FC,Fulham,Premier League,Premier League
236499,Douglas Luiz,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
223273,Mario Pašalić,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
236401,Noussair Mazraoui,id,Manchester United,Man Utd,Premier League,Premier League
252802,Wilfried Singo,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
226300,Uğurcan Çakır,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
210406,Piotr Zieliński,id,Inter,Lombardia FC,Serie A,Serie A Enilive
186345,Kieran Trippier,id,Newcastle United,Newcastle Utd,Premier League,Premier League
225126,Ellyes Skhiri,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
227535,Rodrigo Bentancur,id,Tottenham Hotspur,Spurs,Premier League,Premier League
208268,Bryan Cristante,id,Roma,AS Roma,Serie A,Serie A Enilive
231591,Javi Galán,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
213655,Alex Iwobi,id,Fulham FC,Fulham,Premier League,Premier League
266127,Lewis Hall,id,Newcastle United,Newcastle Utd,Premier League,Premier League
201269,Frederik Rønnow,id,1. FC Union Berlin,Union Berlin,Bundesliga,Bundesliga
220876,Franck Honorat,id,Borussia Mönchengladbach,M'gladbach,Bundesliga,Bundesliga
234579,Julian Quiñones,id,Al Qadsiah FC,Al Qadsiah,Pro League,ROSHN Saudi League
262118,Tino Livramento,id,Newcastle United,Newcastle Utd,Premier League,Premier League
239380,Noa Lang,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
260592,Benjamin Šeško,id,Manchester United,Man Utd,Premier League,Premier League
190674,Benjamin André,id,Lille OSC,LOSC Lille,Ligue 1,Ligue 1 McDonald's
234742,Harvey Barnes,id,Newcastle United,Newcastle Utd,Premier League,Premier League
229880,Aaron Wan-Bissaka,id,West Ham United,West Ham,Premier League,Premier League
237712,Valentin Castellanos,id,Lazio,Latium,Serie A,Serie A Enilive
246242,Boulaye Dia,id,Lazio,Latium,Serie A,Serie A Enilive
229668,Mario Hermoso,id,Roma,AS Roma,Serie A,Serie A Enilive
234642,Édouard Mendy,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
200155,Hans Vanaken,id,Club Brugge KV,Club Brugge,Pro League,1A Pro League
256948,Christos Tzolis,id,Club Brugge KV,Club Brugge,Pro League,1A Pro League
271400,Igor Paixão,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
235149,Jerdy Schouten,id,PSV,,Eredivisie,Eredivisie
256903,Gonçalo Ramos,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
225539,Dominic Solanke,id,Tottenham Hotspur,Spurs,Premier League,Premier League
189596,Thomas Müller,id,Vancouver Whitecaps FC,Whitecaps FC,Major League Soccer,MLS
220834,Marco Asensio,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
258580,Kerem Aktürkoğlu,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
258908,Jan Paul van Hecke,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
246172,Samuel Chukwueze,id,Fulham FC,Fulham,Premier League,Premier League
200145,Casemiro,id,Manchester United,Man Utd,Premier League,Premier League
229905,Abdülkerim Bardakcı,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
257278,Arthur Theate,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
224179,Borja Iglesias,id,RC Celta,Celta,La Liga,LALIGA EA SPORTS
246875,Odilon Kossounou,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
189511,Sergio Busquets,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
212602,Diego Llorente,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
220440,Clément Lenglet,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
203263,Harry Maguire,id,Manchester United,Man Utd,Premier League,Premier League
269493,Alexsandro,id,Lille OSC,LOSC Lille,Ligue 1,Ligue 1 McDonald's
250723,Kouadio Manu Koné,id,Roma,AS Roma,Serie A,Serie A Enilive
251377,Rodrigo Zalazar,id,Sporting Clube de Braga,SC Braga,Primeira Liga,Liga Portugal
212811,Mario Lemina,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
234574,Diogo Dalot,id,Manchester United,Man Utd,Premier League,Premier League
251804,Sergiño Dest,id,PSV,,Eredivisie,Eredivisie
216150,Davide Zappacosta,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
235152,Ferdi Kadıoğlu,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
226456,Pablo Fornals,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
233084,Nahuel Molina,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
220651,Angeliño,id,Roma,AS Roma,Serie A,Serie A Enilive
224836,Vanja Milinković-Savić,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
192638,Marcos Alonso,id,RC Celta,Celta,La Liga,LALIGA EA SPORTS
257980,Dan Ndoye,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
259868,Pape Matar Sarr,id,Tottenham Hotspur,Spurs,Premier League,Premier League
255001,Nicolò Rovella,id,Lazio,Latium,Serie A,Serie A Enilive
199987,Jasper Cillessen,id,NEC Nijmegen,,Eredivisie,Eredivisie
221087,Pau López,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
241509,Mauro Júnior,id,PSV,,Eredivisie,Eredivisie
259480,Ismael Saibari,id,PSV,,Eredivisie,Eredivisie
214979,Juan Musso,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
233301,Rasmus Kristensen,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
268804,Mario Gila,id,Lazio,Latium,Serie A,Serie A Enilive
237819,Nicolás Domínguez,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
237942,Pervis Estupiñán,id,AC Milan,Milano FC,Serie A,Serie A Enilive
246657,Álvaro Valles,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
225951,Denis Bouanga,id,Los Angeles FC,LAFC,Major League Soccer,MLS
242664,Alexis Saelemaekers,id,AC Milan,Milano FC,Serie A,Serie A Enilive
226376,Kaku,id,Al Ain,Al Ain FC,Pro League,United Emirates League
240753,Amine Gouiri,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
205988,Luke Shaw,id,Manchester United,Man Utd,Premier League,Premier League
253306,Manuel Ugarte,id,Manchester United,Man Utd,Premier League,Premier League
182494,Fernando Muslera,id,Estudiantes de La Plata,Estudiantes,Liga Profesional de Fútbol,LPF
225863,Olivier Boscagli,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
228092,Sander Berge,id,Fulham FC,Fulham,Premier League,Premier League
245371,Thiago Almada,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
243780,Lee Kang In,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
254088,Amad,id,Manchester United,Man Utd,Premier League,Premier League
207993,Sead Kolašinac,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
215270,Lucas Zelarayán,id,Belgrano de Córdoba,Belgrano,Liga Profesional de Fútbol,LPF
190813,Stephan El Shaarawy,id,Roma,AS Roma,Serie A,Serie A Enilive
236804,Facundo Medina,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
245152,Santiago Giménez,id,AC Milan,Milano FC,Serie A,Serie A Enilive
253109,Joey Veerman,id,PSV,,Eredivisie,Eredivisie
198141,Marc Bartra,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
236786,Martin Terrier,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
193301,Alexandre Lacazette,id,NEOM SC,Neom,Pro League,ROSHN Saudi League
258575,Emmanuel Agbadou,id,Wolverhampton Wanderers,Wolves,Premier League,Premier League
229906,Leon Bailey,id,Roma,AS Roma,Serie A,Serie A Enilive
251421,Brennan Johnson,id,Tottenham Hotspur,Spurs,Premier League,Premier League
238186,Marcin Bułka,id,NEOM SC,Neom,Pro League,ROSHN Saudi League
247172,Jhon Durán,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
199422,Jordy Clasie,id,AZ Alkmaar,,Eredivisie,Eredivisie
254022,Nick Woltemade,id,Newcastle United,Newcastle Utd,Premier League,Premier League
205431,Niclas Füllkrug,id,West Ham United,West Ham,Premier League,Premier League
258781,Illia Zabarnyi,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
176580,Luis Suárez,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
210930,Carles Gil,id,New England Revolution,New England,Major League Soccer,MLS
208448,Emil Forsberg,id,New York Red Bulls,Red Bulls,Major League Soccer,MLS
258911,Toluwalase Arokodare,id,Wolverhampton Wanderers,Wolves,Premier League,Premier League
226710,Gianluca Scamacca,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
178509,Olivier Giroud,id,Lille OSC,LOSC Lille,Ligue 1,Ligue 1 McDonald's
197655,Sebastián Coates,id,Club Nacional de Football,,Primera División,Libertadores
237985,Kevin Danso,id,Tottenham Hotspur,Spurs,Premier League,Premier League
208165,Berat Djimsiti,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
198032,Dan Burn,id,Newcastle United,Newcastle Utd,Premier League,Premier League
251530,Nuno Tavares,id,Lazio,Latium,Serie A,Serie A Enilive
253727,Lukáš Provod,id,SK Slavia Praha,Slavia Praha,První liga,Česká Liga
189332,Jordi Alba,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
255009,Kenneth Taylor,id,Ajax,,Eredivisie,Eredivisie
268896,Hugo Larsson,id,Eintracht Frankfurt,Frankfurt,Bundesliga,Bundesliga
232244,Santiago Ascacíbar,id,Estudiantes de La Plata,Estudiantes,Liga Profesional de Fútbol,LPF
246923,Jacob Ramsey,id,Newcastle United,Newcastle Utd,Premier League,Premier League
202884,Leonardo Spinazzola,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
258498,Bart Verbruggen,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
190113,Mert Günok,id,Beşiktaş JK,Beşiktaş,Süper Lig,Trendyol Süper Lig
256632,Luis Henrique,id,Inter,Lombardia FC,Serie A,Serie A Enilive
240734,Matt O'Riley,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
224031,Adam Marušić,id,Lazio,Latium,Serie A,Serie A Enilive
235374,Manuel Lazzari,id,Lazio,Latium,Serie A,Serie A Enilive
243627,Yacine Adli,id,Al Shabab,Milano FC,Pro League,Serie A Enilive
201455,Geoffrey Kondogbia,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
252064,Ladislav Krejčí,id,Wolverhampton Wanderers,Wolves,Premier League,Premier League
254909,Oscar Dorley,id,SK Slavia Praha,Slavia Praha,První liga,Česká Liga
225403,İrfan Can Kahveci,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
235973,Sebastian Szymański,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
224158,Sofyan Amrabat,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
234171,Roland Sallai,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
236480,Yves Bissouma,id,Tottenham Hotspur,Spurs,Premier League,Premier League
248793,Mats Wieffer,id,Brighton & Hove Albion,Brighton,Premier League,Premier League
220746,Andrija Živković,id,PAOK,PAOK FC,Super League,Hellas Liga
236699,Saša Lukić,id,Fulham FC,Fulham,Premier League,Premier League
237034,Cucho,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
212814,João Mário,id,AEK Athens,Beşiktaş,Super League,Trendyol Süper Lig
